ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2024-04-01,14.3310072155787,14.466773521445925,14.536064425774061,14.3310072155787,14.3310072155787,0.0005584335606577787,0.0005584335606577787,0.0005584335606577787,0.011822696762799501,0.011822696762799501,0.011822696762799501,0.0020258623972355225,0.0020258623972355225,0.0020258623972355225,0.0092384008049062,0.0092384008049062,0.0092384008049062,0.0,0.0,0.0,1983628.6326729846
2024-04-02,14.329736548663396,14.47689289235479,14.543433733423093,14.329736548663396,14.329736548663396,0.00048190261840679835,0.00048190261840679835,0.00048190261840679835,0.012489232376736766,0.012489232376736766,0.012489232376736766,0.002744169062499489,0.002744169062499489,0.002744169062499489,0.00926316069583048,0.00926316069583048,0.00926316069583048,0.0,0.0,0.0,2000092.4417220047
2024-04-03,14.328465881748093,14.47163367295004,14.538792997602057,14.328465881748093,14.328465881748093,0.0004550953826810811,0.0004550953826810811,0.0004550953826810811,0.012473377467857297,0.012473377467857297,0.012473377467857297,0.0027416164532365617,0.0027416164532365617,0.0027416164532365617,0.009276665631939655,0.009276665631939655,0.009276665631939655,0.0,0.0,0.0,1997067.1658879973
2024-04-04,14.327195214832791,14.466877111851675,14.532389477080518,14.327195214832791,14.327195214832791,0.00044247331983748877,0.00044247331983748877,0.00044247331983748877,0.012140682343305726,0.012140682343305726,0.012140682343305726,0.0024182748000013167,0.0024182748000013167,0.0024182748000013167,0.009279934223466924,0.009279934223466924,0.009279934223466924,0.0,0.0,0.0,1985015.2224341757
2024-04-05,14.325924547917488,14.46306853570763,14.5268974864292,14.325924547917488,14.325924547917488,0.0002863969997419305,0.0002863969997419305,0.0002863969997419305,0.011697641710323817,0.011697641710323817,0.011697641710323817,0.0021372299075861946,0.0021372299075861946,0.0021372299075861946,0.00927401480299569,0.00927401480299569,0.00927401480299569,0.0,0.0,0.0,1969921.1616535338
2024-04-06,14.324653881002185,14.336303436488071,14.405379315589995,14.324653881002185,14.324653881002185,-3.0450102258912114e-05,-3.0450102258912114e-05,-3.0450102258912114e-05,0.0031442948320435245,0.0031442948320435245,0.0031442948320435245,-0.006085218210991359,-0.006085218210991359,-0.006085218210991359,0.009259963145293796,0.009259963145293796,0.009259963145293796,0.0,0.0,0.0,1740520.590127837
2024-04-07,14.323383214086883,14.334524840092097,14.398781896663621,14.323383214086883,14.323383214086883,-0.0002763342742198461,-0.0002763342742198461,-0.0002763342742198461,0.0029805517473922853,0.0029805517473922853,0.0029805517473922853,-0.005981934409550187,-0.005981934409550187,-0.005981934409550187,0.00923882043116232,0.00923882043116232,0.00923882043116232,0.0,0.0,0.0,1734231.2662239426
2024-04-08,14.32211254717158,14.448942492756853,14.513998166284585,14.32211254717158,14.32211254717158,-0.00023742303999357842,-0.00023742303999357842,-0.00023742303999357842,0.011000031228120244,0.011000031228120244,0.011000031228120244,0.0020258623972473897,0.0020258623972473897,0.0020258623972473897,0.009211591870866431,0.009211591870866431,0.009211591870866431,0.0,0.0,0.0,1942830.0028714582
2024-04-09,14.320841880256276,14.45870164011366,14.52401771817091,14.320841880256276,14.320841880256276,-4.212877391619048e-05,-4.212877391619048e-05,-4.212877391619048e-05,0.011881266675624664,0.011881266675624664,0.011881266675624664,0.002744169062497441,0.002744169062497441,0.002744169062497441,0.009179226387043412,0.009179226387043412,0.009179226387043412,0.0,0.0,0.0,1964978.0282190198
2024-04-10,14.319571213340973,14.453112320614538,14.523959937253933,14.319571213340973,14.319571213340973,-6.737658793758482e-05,-6.737658793758482e-05,-6.737658793758482e-05,0.011816837599944594,0.011816837599944594,0.011816837599944594,0.0027416164532372573,0.0027416164532372573,0.0027416164532372573,0.009142597734644922,0.009142597734644922,0.009142597734644922,0.0,0.0,0.0,1960643.4357313716
2024-04-11,14.31830054642567,14.447471687914355,14.512120318349213,14.31830054642567,14.31830054642567,-0.00046502371827358526,-0.00046502371827358526,-0.00046502371827358526,0.011055738488621888,0.011055738488621888,0.011055738488621888,0.0024182748000006614,0.0024182748000006614,0.0024182748000006614,0.009102487406894812,0.009102487406894812,0.009102487406894812,0.0,0.0,0.0,1936901.197078392
2024-04-12,14.317029879510367,14.430681776651525,14.499525012056651,14.317029879510367,14.317029879510367,-0.0008916457719992778,-0.0008916457719992778,-0.0008916457719992778,0.01030515377742315,0.01030515377742315,0.01030515377742315,0.0021372299075806374,0.0021372299075806374,0.0021372299075806374,0.009059569641841791,0.009059569641841791,0.009059569641841791,0.0,0.0,0.0,1913738.2268388413
2024-04-13,14.315759212595063,14.311891330327896,14.3793124444281,14.315759212595063,14.315759212595063,-0.0008427379666154587,-0.0008427379666154587,-0.0008427379666154587,0.0020864426268699353,0.0020864426268699353,0.0020864426268699353,-0.006085218210994033,-0.006085218210994033,-0.006085218210994033,0.009014398804479427,0.009014398804479427,0.009014398804479427,0.0,0.0,0.0,1699132.225059626
2024-04-14,14.315701208506782,14.32183876307104,14.390437598575017,14.315701208506782,14.315701208506782,-0.00024585293328840664,-0.00024585293328840664,-0.00024585293328840664,0.002739612032282718,0.002739612032282718,0.002739612032282718,-0.005981934409563386,-0.005981934409563386,-0.005981934409563386,0.008967399375134511,0.008967399375134511,0.008967399375134511,0.0,0.0,0.0,1714994.9188158081
